"ID;""En matière d'Internet"," vous vous considérez comme un utilisateur…"";""Quel(s) type(s) de sites visitez-vous couramment ?"";""Considérez-vous que cette adresse soit votre adresse email principale ?"";""A quelle fréquence consultez-vous votre boîte email ?"";""D’une manière générale", combien d’emails publicitaires, newsletters, alerting, ou autres," recevez-vous à cette adresse ?"";""Quelle image avez-vous de projet-one ?"";""A quelle fréquence profitez-vous des offres via le site project-one ?"";""Vous diriez que vous ouvrez les communications email de projet-one :"";""Comment jugez-vous l’impact des communications email sur l’image que vous avez de Projet-one ?"";""Les communications email de Projet-one vous incitent-elles à aller sur le site :"";""Quelles sont les raisons principales qui vous ont incité à recevoir les communications email de Projet-one ?"";""De manière générale"," quel est votre niveau de satisfaction concernant les communications email de Projet-one ?"";""Que pensez-vous de la longueur des communications email de Porjet-one ?"";""Par rapport à aujourd’hui"," vous souhaiteriez recevoir des communications email de Projet-one…"";""Avez-vous rencontré récemment un ou plusieurs des obstacles suivants vis-à-vis des communications email de Projet-one ?"";""Pensez-vous continuer à consulter les communications email de Projet-one à l’avenir ?"";""Vous êtes ?"";""Vous vivez…"";""Vous habitez…"";""Quel âge avez-vous ?"";""Quelle est votre profession ?""",,
410;Confirmé(e);Jeux, Loisirs|Presse, Actualité|Réseaux sociaux;Oui, c’est ma seule adresse email;Une fois par jour;Plusieurs par jour;Assez bonne;Jamais;De temps en temps;Peu important;Moins souvent;Recevoir des actualités;5;De la bonne longueur;A la même fréquence;Le manque de temps;Oui, sans doute;Femme;Province;Seul(e) sans enfant;45-54;Employé,,,,,,
415;Confirmé(e);Site marchand (e-commerce)|Presse, Actualité|Réseaux sociaux;Oui, c’est ma seule adresse email;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Moins souvent;Rarement;Peu important;Aussi souvent;Recevoir des actualités;6;Un peu trop longue;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Province;En couple avec enfant(s);25-34;Profession libérale,,,,,,,
418;Confirmé(e);Site marchand (e-commerce)|Informatique|Jeux, Loisirs|Santé, médicale;Oui, c’est ma seule adresse email;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Moins souvent;De temps en temps;Assez important;Aussi souvent;Recevoir des actualités|Simplement par curiosité|Avoir accès aux conseils d’un expert;6;De la bonne longueur;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sans doute;Femme;Paris ou région parisienne;En couple sans enfant;55-64;Retraité,,,,,,
420;Initié(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Jeux, Loisirs|Réseaux sociaux|Santé, médicale;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Très bonne;Environ une fois par semaine;Systématiquement;Très important;Aussi souvent;Recevoir des actualités|Suivre  l'actualité d'un forum, d'un blog,…;9;De la bonne longueur;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Province;En couple sans enfant;25-34;Sans activité professionnelle,,,
421;Confirmé(e);Site marchand (e-commerce)|Réseaux sociaux;Oui, mais j’ai d’autres adresses email;Une fois par jour;Plusieurs par jour;Assez bonne;Jamais;De temps en temps;Ne sait pas;C’est votre façon principale d’y aller;Etre informé sur les produits/marques|Simplement par curiosité;5;De la bonne longueur;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sans doute;Femme;Province;Seul(e) sans enfant;18-24;Employé,,,,,,,,
422;Expert(e);Jeux, Loisirs|Presse, Actualité|Réseaux sociaux|Santé, médicale;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Très bonne;Moins souvent;Régulièrement;Assez important;Plus souvent;Recevoir des actualités|Simplement par curiosité;9;De la bonne longueur;A la même fréquence;Le manque de temps;Oui, sûrement;Femme;Province;En couple avec enfant(s);35-44;Employé,,,,,
423;Confirmé(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Presse, Actualité|Santé, médicale|Sciences;Non, c’est une adresse secondaire;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Jamais;Systématiquement;Peu important;Aussi souvent;Recevoir des actualités|Etre informé sur les produits/marques|Avoir accès aux conseils d’un expert;6;Beaucoup trop longue;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Paris ou région parisienne;En couple sans enfant;>65;Retraité,,,,,
424;Confirmé(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Presse, Actualité|Réseaux sociaux|Sciences;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Moins souvent;De temps en temps;Peu important;Aussi souvent;Recevoir des actualités|Simplement par curiosité;7;Un peu trop longue;Un peu moins fréquemment;Le manque de temps|Je n’ai pas rencontré de problème particulier;Oui, sans doute;Homme;Paris ou région parisienne;Seul(e) sans enfant;55-64;Retraité,,,,,,
426;Débutant(e);Documents de référence (dictionnaire, archive…)|Jeux, Loisirs|Presse, Actualité|Santé, médicale;Oui, c’est ma seule adresse email;Une fois par jour;Plusieurs par jour;Très bonne;Moins souvent;Systématiquement;Peu important;Moins souvent;Bénéficier d'offres promotionnelles|Avoir accès aux conseils d’un expert;5;Un peu trop longue;Un peu moins fréquemment;Le manque de temps;Oui, sans doute;Femme;Province;En couple sans enfant;55-64;Sans activité professionnelle,,,,
427;Débutant(e);Site marchand (e-commerce)|Informatique|Jeux, Loisirs|Presse, Actualité;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Environ 1 par jour;Assez bonne;Environ une fois par semaine;Rarement;Peu important;Plus souvent;Simplement par curiosité;3;De la bonne longueur;A la même fréquence;L’email est classé automatiquement comme spam.;Oui, sans doute;Homme;Province;Seul(e) sans enfant;45-54;Sans activité professionnelle,,,,,,
428;Débutant(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Presse, Actualité|Réseaux sociaux;Oui, c’est ma seule adresse email;Plusieurs fois par jour;Plusieurs par jour;Très bonne;Jamais;Systématiquement;Assez important;Aussi souvent;Recevoir des actualités|Bénéficier d'offres promotionnelles|Etre informé sur les produits/marques;8;De la bonne longueur;A la même fréquence;Le manque de temps|La mise en forme ne s’affiche pas correctement;Oui, sûrement;Femme;Province;En couple sans enfant;55-64;Employé,,,,,,
430;Débutant(e);Presse, Actualité|Réseaux sociaux;Oui, mais j’ai d’autres adresses email;Une fois par jour;Plusieurs par semaine mais moins de 1 par jours;Assez bonne;Jamais;Régulièrement;Peu important;Aussi souvent;Recevoir des actualités|Simplement par curiosité;6;De la bonne longueur;A la même fréquence;Le manque de temps|Je n’ai pas rencontré de problème particulier;Oui, sûrement;Homme;Province;En couple sans enfant;55-64;Employé,,,,,,,
431;Expert(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Informatique|Jeux, Loisirs|Presse, Actualité|Réseaux sociaux|Santé, médicale|Sciences;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Jamais;De temps en temps;Peu important;C’est votre façon principale d’y aller;Bénéficier d'offres promotionnelles|Etre informé sur les produits/marques;5;De la bonne longueur;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sans doute;Femme;Province;En couple avec enfant(s);25-34;Employé,,,,
433;Confirmé(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Jeux, Loisirs|Presse, Actualité|Santé, médicale;Oui, c’est ma seule adresse email;Plusieurs fois par jour;Plusieurs par jour;Très bonne;Environ une fois par semaine;Régulièrement;Assez important;Aussi souvent;Recevoir des actualités|Bénéficier d'offres promotionnelles|Etre informé sur les produits/marques;7;De la bonne longueur;Un peu plus fréquemment;Certains liens ne fonctionnent pas|Les images sont bloquées;Oui, sans doute;Femme;Paris ou région parisienne;En couple sans enfant;55-64;Retraité,,,,
436;Initié(e);Site marchand (e-commerce)|Jeux, Loisirs|Réseaux sociaux|Sport;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Moins souvent;De temps en temps;Assez important;Aussi souvent;Recevoir des actualités|Bénéficier d'offres promotionnelles|Avoir accès aux conseils d’un expert;5;De la bonne longueur;Un peu plus fréquemment;Le manque de temps;Oui, sûrement;Femme;Paris ou région parisienne;En couple avec enfant(s);25-34;Sans activité professionnelle,,,,,,,
437;Initié(e);Site marchand (e-commerce)|Presse, Actualité;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Moins souvent;De temps en temps;Assez important;Moins souvent;Recevoir des actualités|Bénéficier d'offres promotionnelles|Etre informé sur les produits/marques;6;Un peu trop longue;Un peu moins fréquemment;Le manque de temps|Les liens sont trop lents|Certains liens ne fonctionnent pas;Oui, sans doute;Femme;Province;En couple sans enfant;18-24;Employé,,,,,,,
440;Expert(e);Site marchand (e-commerce)|Informatique|Jeux, Loisirs|Réseaux sociaux|Santé, médicale;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Très bonne;Au moins une fois par mois;Régulièrement;Assez important;Aussi souvent;Recevoir des actualités|Bénéficier d'offres promotionnelles|Avoir accès aux conseils d’un expert;8;De la bonne longueur;A la même fréquence;Le manque de temps|Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Province;En couple avec enfant(s);35-44;Employé,,,,,,
442;Expert(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Réseaux sociaux|Santé, médicale;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Très bonne;Au moins une fois par mois;Systématiquement;Assez important;Aussi souvent;Bénéficier d'offres promotionnelles|Etre informé sur les produits/marques|Recevoir des adresses près de chez moi, des idées de sorties;8;De la bonne longueur;A la même fréquence;Le manque de temps|La mise en forme ne s’affiche pas correctement;Oui, sûrement;Femme;Province;En couple avec enfant(s);18-24;Sans activité professionnelle,,,,,
443;Initié(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Jeux, Loisirs|Réseaux sociaux|Santé, médicale;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Très bonne;Jamais;Systématiquement;Assez important;Plus souvent;Recevoir des actualités|Etre informé sur les produits/marques;10;De la bonne longueur;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Province;Seul(e) sans enfant;55-64;Sans activité professionnelle,,,,,
444;Confirmé(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Informatique|Jeux, Loisirs|Presse, Actualité|Réseaux sociaux|Sciences;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Au moins une fois par mois;Systématiquement;Assez important;C’est votre façon principale d’y aller;Recevoir des actualités|Bénéficier d'offres promotionnelles|Suivre  l'actualité d'un forum, d'un blog,…;8;De la bonne longueur;Un peu plus fréquemment;Le manque de temps|L’email est classé automatiquement comme spam.;Oui, sûrement;Femme;Province;En couple avec enfant(s);25-34;Profession Intermédiaire, contremaître, agent de maîtrise,
446;Initié(e);Presse, Actualité|Réseaux sociaux|Santé, médicale;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Environ 1 par jour;Assez bonne;Jamais;Régulièrement;Peu important;Moins souvent;Recevoir des actualités|Simplement par curiosité;5;De la bonne longueur;Un peu moins fréquemment;Le manque de temps|Les liens sont trop lents;Oui, sans doute;Femme;Province;En couple sans enfant;25-34;Artisan, commerçant, chef d'entreprise,,,,
447;Initié(e);Presse, Actualité|Santé, médicale|Sciences;Oui, c’est ma seule adresse email;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Moins souvent;Régulièrement;Assez important;Plus souvent;Recevoir des actualités|Suivre  l'actualité d'un forum, d'un blog,…|Avoir accès aux conseils d’un expert;8;De la bonne longueur;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Province;Seul(e) sans enfant;>65;Retraité,,,,
449;Confirmé(e);Presse, Actualité|Sport;Oui, c’est ma seule adresse email;Plusieurs fois par jour;Plusieurs par jour;Très bonne;Jamais;Régulièrement;Peu important;Aussi souvent;Recevoir des actualités|Avoir accès aux conseils d’un expert;3;Un peu trop longue;Un peu moins fréquemment;Certains liens ne fonctionnent pas|Les images sont bloquées|L’email est classé automatiquement comme spam.;Oui, sans doute;Femme;Paris ou région parisienne;En couple sans enfant;>65;Retraité,,,,,,,
450;Initié(e);Documents de référence (dictionnaire, archive…)|Réseaux sociaux|Santé, médicale|Sciences;Non, c’est une adresse secondaire;Plusieurs fois par jour;Plusieurs par jour;Très bonne;Jamais;De temps en temps;Assez important;Aussi souvent;Recevoir des actualités|Suivre  l'actualité d'un forum, d'un blog,…|Simplement par curiosité;3;De la bonne longueur;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Province;Seul(e) sans enfant;>65;Cadre, cadre supérieur,,,
454;Confirmé(e);Jeux, Loisirs|Réseaux sociaux|Santé, médicale;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Moins souvent;De temps en temps;Assez important;Aussi souvent;Simplement par curiosité;6;Un peu trop longue;Un peu moins fréquemment;Je n’ai pas rencontré de problème particulier;Oui, sans doute;Femme;Province;En couple avec enfant(s);35-44;Employé,,,,,,
455;Initié(e);Documents de référence (dictionnaire, archive…);Oui, c’est ma seule adresse email;Plusieurs fois par jour;Plusieurs par semaine mais moins de 1 par jours;Très bonne;Environ une fois par semaine;Systématiquement;Très important;Moins souvent;Etre informé sur les produits/marques;2;Un peu trop longue;Beaucoup plus fréquemment;Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Province;En couple avec enfant(s);45-54;Employé,,,,,,,
458;Initié(e);Jeux, Loisirs|Presse, Actualité|Réseaux sociaux;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par semaine mais moins de 1 par jours;Assez bonne;Jamais;De temps en temps;Assez important;Plus souvent;Recevoir des actualités;6;Un peu trop longue;Un peu moins fréquemment;Je n’ai pas rencontré de problème particulier;Oui, sans doute;Femme;Paris ou région parisienne;En couple sans enfant;45-54;Artisan, commerçant, chef d'entreprise,,,,
459;Confirmé(e);Documents de référence (dictionnaire, archive…)|Jeux, Loisirs;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Environ 1 par jour;Assez bonne;Jamais;Rarement;Ne sait pas;Moins souvent;Suivre  l'actualité d'un forum, d'un blog,…;5;Un peu trop longue;Un peu plus fréquemment;Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Paris ou région parisienne;Chez vos parents;<18;Etudiant,,,,
462;Confirmé(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Réseaux sociaux|Santé, médicale;Oui, c’est ma seule adresse email;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Moins souvent;De temps en temps;Peu important;Aussi souvent;Bénéficier d'offres promotionnelles|Etre informé sur les produits/marques|Simplement par curiosité;5;Un peu trop longue;Un peu moins fréquemment;Le manque de temps|Les liens sont trop lents;Oui, sans doute;Femme;Province;En couple avec enfant(s);35-44;Employé,,,,,,
464;Confirmé(e);Réseaux sociaux|Santé, médicale|Sciences;Non, c’est une adresse secondaire;Plusieurs fois par semaine;Plusieurs par jour;Assez bonne;Jamais;Jamais;Pas important du tout;Aussi souvent;Simplement par curiosité;5;Un peu trop longue;Un peu moins fréquemment;Le manque de temps|La mise en forme ne s’affiche pas correctement|Les images sont bloquées;Oui, sans doute;Femme;Province;En couple sans enfant;25-34;Cadre, cadre supérieur,,,,,,
466;Confirmé(e);Documents de référence (dictionnaire, archive…)|Presse, Actualité|Réseaux sociaux|Santé, médicale;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Jamais;Systématiquement;Peu important;Aussi souvent;Recevoir des actualités|Simplement par curiosité|Avoir accès aux conseils d’un expert;7;Un peu trop longue;A la même fréquence;Les liens sont trop lents|Certains liens ne fonctionnent pas;Oui, sans doute;Femme;Paris ou région parisienne;Seul(e) avec enfant(s);45-54;Cadre, cadre supérieur,,,,
468;Confirmé(e);Jeux, Loisirs|Presse, Actualité|Santé, médicale;Oui, c’est ma seule adresse email;Plusieurs fois par jour;Environ 1 par jour;Très bonne;Jamais;De temps en temps;Assez important;Aussi souvent;Recevoir des actualités|Simplement par curiosité|Recevoir des adresses près de chez moi, des idées de sorties;8;Un peu trop longue;Un peu moins fréquemment;Le manque de temps|Certains liens ne fonctionnent pas;Oui, sûrement;Homme;Province;En couple sans enfant;55-64;Profession libérale,,,,
470;Confirmé(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Presse, Actualité|Réseaux sociaux;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Très bonne;Moins souvent;De temps en temps;Peu important;Aussi souvent;Recevoir des actualités|Suivre  l'actualité d'un forum, d'un blog,…|Simplement par curiosité;5;De la bonne longueur;Un peu moins fréquemment;Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Province;En couple avec enfant(s);25-34;Employé,,,,
472;Confirmé(e);Documents de référence (dictionnaire, archive…)|Presse, Actualité|Santé, médicale;Oui, mais j’ai d’autres adresses email;Une fois par jour;Plusieurs par jour;Très bonne;Moins souvent;De temps en temps;Peu important;Aussi souvent;Recevoir des actualités|Bénéficier d'offres promotionnelles;6;Un peu trop longue;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Province;En couple sans enfant;55-64;Profession libérale,,,,,
473;Initié(e);Site marchand (e-commerce)|Jeux, Loisirs|Presse, Actualité|Réseaux sociaux;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Au moins une fois par mois;Systématiquement;Peu important;Aussi souvent;Recevoir des actualités|Etre informé sur les produits/marques;8;De la bonne longueur;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Province;Seul(e) sans enfant;25-34;Employé,,,,,,
474;Confirmé(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Presse, Actualité;Oui, mais j’ai d’autres adresses email;Une fois par jour;Plusieurs par jour;Assez bonne;Jamais;De temps en temps;Peu important;Aussi souvent;Recevoir des actualités|Etre informé sur les produits/marques;5;Un peu trop longue;A la même fréquence;Le manque de temps|Certains liens ne fonctionnent pas;Oui, sans doute;Femme;Province;En couple avec enfant(s);35-44;Cadre, cadre supérieur,,,,,
475;Initié(e);Site marchand (e-commerce)|Presse, Actualité|Réseaux sociaux;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Moins souvent;Systématiquement;Assez important;C’est votre façon principale d’y aller;Recevoir des actualités|Etre informé sur les produits/marques|Avoir accès aux conseils d’un expert;8;De la bonne longueur;Beaucoup plus fréquemment;Le manque de temps|Certains liens ne fonctionnent pas|La mise en forme ne s’affiche pas correctement;Oui, sans doute;Femme;Province;Seul(e) avec enfant(s);25-34;Employé,,,,,,,
476;Confirmé(e);Site marchand (e-commerce)|Informatique|Jeux, Loisirs|Réseaux sociaux|Santé, médicale;Oui, c’est ma seule adresse email;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Plus d’une fois par semaine;Systématiquement;Très important;Aussi souvent;Bénéficier d'offres promotionnelles|Etre informé sur les produits/marques|Avoir accès aux conseils d’un expert;9;Beaucoup trop longue;Beaucoup plus fréquemment;Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Province;En couple sans enfant;18-24;Sans activité professionnelle,,,,,,
478;Débutant(e);Site marchand (e-commerce)|Jeux, Loisirs|Réseaux sociaux;Oui, c’est ma seule adresse email;Plusieurs fois par jour;Plusieurs par jour;Très bonne;Moins souvent;Régulièrement;Assez important;Aussi souvent;Recevoir des actualités|Bénéficier d'offres promotionnelles|Etre informé sur les produits/marques;8;De la bonne longueur;Un peu plus fréquemment;Les liens sont trop lents|Certains liens ne fonctionnent pas|La mise en forme ne s’affiche pas correctement;Oui, sûrement;Femme;Province;En couple sans enfant;>65;Retraité,,,,,,,
479;Confirmé(e);Je ne visite aucun site en particulier;Oui, c’est ma seule adresse email;Plusieurs fois par jour;Plusieurs par jour;Très bonne;Plus d’une fois par semaine;Systématiquement;Très important;Aussi souvent;Recevoir des petites annonces;4;Un peu trop courte;Un peu plus fréquemment;Je n’ai pas rencontré de problème particulier;Non, sans doute pas;Femme;Province;En couple avec enfant(s);35-44;Sans activité professionnelle,,,,,,,,
480;Expert(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Jeux, Loisirs|Santé, médicale;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Moins souvent;Régulièrement;Assez important;C’est votre façon principale d’y aller;Etre informé sur les produits/marques|Simplement par curiosité|Recevoir des adresses près de chez moi, des idées de sorties;7;Un peu trop longue;Un peu moins fréquemment;Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Province;En couple avec enfant(s);35-44;Profession Intermédiaire, contremaître, agent de maîtrise,,
483;Débutant(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Presse, Actualité|Réseaux sociaux|Santé, médicale|Sciences;Oui, c’est ma seule adresse email;Plusieurs fois par jour;Moins de 1 par semaine;Très bonne;Environ une fois par semaine;De temps en temps;Assez important;Plus souvent;Recevoir des actualités|Etre informé sur les produits/marques|Recevoir des petites annonces;8;Un peu trop longue;Beaucoup plus fréquemment;Les liens sont trop lents|Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Province;Seul(e) avec enfant(s);45-54;Ouvrier,,,,,
485;Expert(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Jeux, Loisirs|Presse, Actualité|Réseaux sociaux|Santé, médicale;Oui, c’est ma seule adresse email;Plusieurs fois par jour;Plusieurs par jour;Très bonne;Moins souvent;Systématiquement;Très important;Moins souvent;Recevoir des actualités|Bénéficier d'offres promotionnelles|Etre informé sur les produits/marques;7;De la bonne longueur;Un peu plus fréquemment;Je n’ai pas rencontré de problème particulier;Oui, sans doute;Femme;Province;En couple avec enfant(s);25-34;Employé,,,,
489;Confirmé(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Presse, Actualité|Réseaux sociaux|Santé, médicale|Sciences;Non, c’est une adresse secondaire;Une fois par jour;Plusieurs par jour;Assez bonne;Jamais;Régulièrement;Peu important;Plus souvent;Recevoir des actualités;6;Un peu trop longue;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sans doute;Homme;Province;Seul(e) avec enfant(s);35-44;Employé,,,,,
490;Débutant(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Presse, Actualité|Réseaux sociaux|Santé, médicale;Oui, mais j’ai d’autres adresses email;Une fois par jour;Plusieurs par jour;Assez bonne;Jamais;Régulièrement;Peu important;Aussi souvent;Recevoir des actualités|Etre informé sur les produits/marques|Avoir accès aux conseils d’un expert;5;Beaucoup trop courte;A la même fréquence;Le manque de temps;Oui, sans doute;Femme;Province;Seul(e) avec enfant(s);35-44;Ouvrier,,,,,
493;Confirmé(e);Site marchand (e-commerce)|Jeux, Loisirs|Presse, Actualité|Réseaux sociaux;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Jamais;Régulièrement;Très important;Moins souvent;Suivre  l'actualité d'un forum, d'un blog,…|Simplement par curiosité;7;De la bonne longueur;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Province;Seul(e) sans enfant;18-24;Etudiant,,,,
495;Initié(e);Je ne visite aucun site en particulier;Oui, mais j’ai d’autres adresses email;Une fois par jour;Plusieurs par jour;Très bonne;Jamais;De temps en temps;Peu important;Moins souvent;Recevoir des actualités|Simplement par curiosité;5;De la bonne longueur;Un peu moins fréquemment;Le manque de temps;Oui, sans doute;Femme;Province;En couple avec enfant(s);45-54;Employé,,,,,,,,
496;Confirmé(e);Documents de référence (dictionnaire, archive…)|Jeux, Loisirs|Presse, Actualité|Réseaux sociaux|Santé, médicale;Oui, c’est ma seule adresse email;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Jamais;Systématiquement;Assez important;Aussi souvent;Bénéficier d'offres promotionnelles|Simplement par curiosité|Recevoir des adresses près de chez moi, des idées de sorties;5;De la bonne longueur;Beaucoup plus fréquemment;Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Province;Seul(e) sans enfant;35-44;Sans activité professionnelle,,,
500;Initié(e);Je ne visite aucun site en particulier;Oui, c’est ma seule adresse email;Plusieurs fois par semaine;Plusieurs par jour;Très bonne;Environ une fois par semaine;De temps en temps;Assez important;Plus souvent;Bénéficier d'offres promotionnelles|Etre informé sur les produits/marques|Recevoir des petites annonces;8;De la bonne longueur;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Province;En couple sans enfant;45-54;Employé,,,,,,,,
505;Initié(e);Site marchand (e-commerce)|Jeux, Loisirs|Presse, Actualité|Santé, médicale;Oui, c’est ma seule adresse email;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Environ une fois par semaine;Régulièrement;Assez important;Aussi souvent;Bénéficier d'offres promotionnelles|Etre informé sur les produits/marques|Simplement par curiosité;6;Un peu trop longue;Beaucoup plus fréquemment;Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Province;Seul(e) avec enfant(s);35-44;Employé,,,,,
510;Expert(e);Site marchand (e-commerce)|Jeux, Loisirs|Santé, médicale;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Environ tous les deux ou trois mois;De temps en temps;Assez important;Aussi souvent;Recevoir des petites annonces;6;Un peu trop longue;A la même fréquence;Le manque de temps;Oui, sans doute;Femme;Province;En couple avec enfant(s);45-54;Sans activité professionnelle,,,,,,
511;Confirmé(e);Site marchand (e-commerce)|Jeux, Loisirs;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Environ une fois par semaine;Régulièrement;Assez important;Plus souvent;Recevoir des actualités|Bénéficier d'offres promotionnelles|Etre informé sur les produits/marques;7;Un peu trop longue;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Province;En couple avec enfant(s);35-44;Employé,,,,,,,
513;Initié(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Jeux, Loisirs|Presse, Actualité|Réseaux sociaux|Santé, médicale;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Très bonne;Moins souvent;De temps en temps;Pas important du tout;Aussi souvent;Simplement par curiosité;7;De la bonne longueur;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sans doute;Femme;Province;En couple sans enfant;25-34;Employé,,,,
518;Confirmé(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Informatique|Presse, Actualité|Réseaux sociaux|Santé, médicale;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Très bonne;Environ une fois par semaine;Systématiquement;Assez important;C’est votre façon principale d’y aller;Recevoir des actualités|Etre informé sur les produits/marques|Avoir accès aux conseils d’un expert;8;De la bonne longueur;Un peu plus fréquemment;Le manque de temps;Oui, sûrement;Femme;Province;En couple sans enfant;45-54;Profession Intermédiaire, contremaître, agent de maîtrise,,,
